Gene2	logFC	logCPM	PValue
hsa-mir-1225	1.35300752025001	-0.393108839678012	0.000163585933332592
hsa-mir-1234	1.38650095819598	-1.18876007718324	0.00400434168353011
hsa-mir-124-1	1.53613825845448	1.44834218439416	0.0181574075185889
hsa-mir-124-2	1.64602663694685	1.44361645461179	0.00812293025251514
hsa-mir-124-3	1.53144770344151	1.48325838132096	0.0154948838814989
hsa-mir-1269a	3.19858017524258	5.83272959134337	0.0242933153193001
hsa-mir-1287	1.12454453717433	4.65233761471398	7.339575495495e-07
hsa-mir-1305	1.14603076422503	-0.241873034716003	0.00330683536495053
hsa-mir-132	2.50083238005774	9.99522343201754	2.32756016366246e-08
hsa-mir-133b	1.94673119422441	-0.0990370294764198	0.0243487477643052
hsa-mir-135a-1	1.27731496829287	3.25064068478289	0.0307780324170724
hsa-mir-135a-2	1.42322482884159	3.49469442892084	0.0201676951190134
hsa-mir-135b	3.36750901665711	0.705784407781186	0.0164644487516233
hsa-mir-137	1.15004998059071	8.91700134415125	6.53870937139041e-06
hsa-mir-138-1	2.47052942911321	4.60547791985301	2.0089437120507e-08
hsa-mir-138-2	2.25182896752068	4.01106564169886	1.43532728430662e-08
hsa-mir-141	1.93823189587039	3.77135215942701	0.00325304843745483
hsa-mir-144	1.77606508563327	8.92738003954737	0.000199468115858719
hsa-mir-148a	1.26359301397262	13.5557398693917	0.00232604449851904
hsa-mir-149	1.38213216138247	7.87647857364431	0.000217374379659017
hsa-mir-184	1.39507822882328	3.38181355215157	0.027012540428867
hsa-mir-190b	1.71585329501284	0.0367490821720548	0.000374417428264726
hsa-mir-196a-1	1.00107108920224	6.20066039849053	0.0230179191431931
hsa-mir-200a	5.28871914636936	3.35947443681068	5.88196011236445e-06
hsa-mir-200b	4.36051304743355	3.49975680812135	6.72061643384151e-05
hsa-mir-200c	2.69913661272881	7.13029969308587	0.000317194078526836
hsa-mir-202	6.75312432483407	6.76373438055441	1.17916877336516e-05
hsa-mir-203a	1.20325653316913	5.95866230461539	0.011524831323009
hsa-mir-203b	2.22108525130376	2.22050581342662	0.00125371513008696
hsa-mir-2114	1.84975435845623	0.769778192313767	0.000135043452859012
hsa-mir-212	2.64558890296195	4.95157845333179	3.34169654261026e-08
hsa-mir-215	2.01816796285909	4.12735812038028	9.5559712884713e-06
hsa-mir-218-1	2.17610394093715	7.94607092457332	1.1051906977565e-11
hsa-mir-218-2	2.19304302500067	7.95390816418071	1.19695282154458e-11
hsa-mir-219a-2	1.32324342180067	-1.02940814752103	0.0104567848313164
hsa-mir-2682	1.52124451936052	2.57837454103964	4.340573767575e-06
hsa-mir-29b-1	1.06387105016508	9.96479269227172	7.68898633870124e-10
hsa-mir-29b-2	1.1180823794757	10.1604131184253	5.5664428090703e-11
hsa-mir-29c	1.06611671843825	11.7829282447735	8.36821509382467e-10
hsa-mir-31	2.82851230389201	0.460525732428457	0.0294923247161461
hsa-mir-3127	1.32337608562751	3.32815799392487	2.07021236944034e-09
hsa-mir-3130-1	1.16425463610036	1.19932257708265	7.34901968617008e-05
hsa-mir-33b	2.12746653983396	1.02809782385803	1.69010532325455e-10
hsa-mir-429	6.48715470371161	1.38457866928286	0.00625545812490258
hsa-mir-451a	1.67818965031347	10.2781581364758	0.000643350232816735
hsa-mir-4533	1.31554368933148	-0.162643828261837	0.0473756203449432
hsa-mir-4665	1.09987704707555	-0.516300767850541	0.00172080439715946
hsa-mir-4685	1.71509920083279	-0.592853849026727	4.38101477240086e-06
hsa-mir-4716	1.26120126829502	-1.21455955836897	0.0157850004537422
hsa-mir-4732	1.75034303818289	0.558448599113983	0.00237708758146726
hsa-mir-4797	1.74034826517852	0.239940365853665	0.000250451748357748
hsa-mir-486-1	1.53034839373275	8.06417214188988	0.00112857580853199
hsa-mir-486-2	1.53290191386053	8.05636561840254	0.00110438141577881
hsa-mir-548ba	2.04764815615894	-0.463396683525261	0.0167139170629517
hsa-mir-5683	1.14267488742278	3.85314800796181	0.00198764248511544
hsa-mir-607	1.86932197553861	-0.127662042810811	1.44040846353714e-05
hsa-mir-653	1.24600633801685	5.12955846822903	0.0210346792162246
hsa-mir-664b	1.05619497821492	3.70223067563378	1.12624351106634e-08
hsa-mir-6772	1.68484569429485	-1.10313178187537	0.00262553022289625
hsa-mir-6777	2.63282811867355	-0.160440361700742	8.070861298431e-09
hsa-mir-6810	1.64226939190019	-1.25078266570076	0.00569024311576089
hsa-mir-6842	1.16819872694102	2.23927163982655	0.000480083554452454
hsa-mir-7156	1.33431960598382	0.670524466078027	0.00120997992783285
hsa-mir-885	2.12479936659299	4.09523509298074	0.000582296465884838
hsa-mir-934	2.18657479431921	-1.01006113669497	0.000922678138331607
hsa-mir-942	1.08447368135151	1.36538488865235	0.00279488525261908
