microRNA	Gene1
hsa-miR-504	AL049552.1
hsa-miR-504	AL359764.1
hsa-miR-504	LINC01359
hsa-miR-504	AL138921.1
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	AC092941.2
hsa-miR-504	AL021707.2
hsa-miR-504	AC025165.1
hsa-miR-504	GAS5
hsa-miR-504	LINC00475
hsa-miR-504	JAZF1-AS1
hsa-miR-504	SLC8A1-AS1
hsa-miR-504	LINC01309
hsa-miR-504	AC010745.1
hsa-miR-504	AL021937.4
hsa-miR-504	LINC00642
hsa-miR-504	LINC01011
hsa-miR-504	LINC01594
hsa-miR-504	CLEC20A
hsa-miR-504	SLC39A12-AS1
hsa-miR-504	LINC01015
hsa-miR-504	AL034417.2
hsa-miR-504	LINC00982
hsa-miR-504	MAGEA4-AS1
hsa-miR-504	AC009404.1
hsa-miR-504	MIR503HG
hsa-miR-504	PRR34-AS1
hsa-miR-504	MIR99AHG
hsa-miR-504	AL445231.1
hsa-miR-504	STK4-AS1
hsa-miR-504	AL391845.1
hsa-miR-504	AC034238.2
hsa-miR-504	GRM7-AS3
hsa-miR-504	LINC02579
hsa-miR-504	AL121787.1
hsa-miR-504	LINC01800
hsa-miR-504	TLX1NB
hsa-miR-504	AC104695.2
hsa-miR-504	AL031056.1
hsa-miR-504	LINC01502
hsa-miR-504	LINC00837
hsa-miR-504	PCOLCE-AS1
hsa-miR-504	AC104457.2
hsa-miR-504	LINC01991
hsa-miR-504	GORAB-AS1
hsa-miR-504	FAM41C
hsa-miR-504	AC133785.1
hsa-miR-504	AC004593.1
hsa-miR-504	AC074366.1
hsa-miR-504	AL358473.1
hsa-miR-504	SDCBP2-AS1
hsa-miR-504	AL357146.1
hsa-miR-504	AC007834.1
hsa-miR-504	LINC01832
hsa-miR-504	OGFRP1
hsa-miR-504	CCDC26
hsa-miR-504	PGM5P4-AS1
hsa-miR-504	AL137058.1
hsa-miR-504	MELTF-AS1
hsa-miR-504	AL606970.3
hsa-miR-504	AC011900.1
hsa-miR-504	AL138930.1
hsa-miR-504	LINC01107
hsa-miR-504	APTR
hsa-miR-504	AP001469.3
hsa-miR-504	AC074117.1
hsa-miR-504	AC012507.2
hsa-miR-504	LINC00466
hsa-miR-504	SNHG7
hsa-miR-504	AL023802.1
hsa-miR-504	AC019080.1
hsa-miR-504	LINC00513
hsa-miR-504	AL136115.1
hsa-miR-504	AL590617.2
hsa-miR-504	LINC01502
hsa-miR-504	AL353596.1
hsa-miR-504	ERVH48-1
hsa-miR-504	AC091806.1
hsa-miR-504	CD27-AS1
hsa-miR-504	LINC01359
hsa-miR-504	LINC01502
hsa-miR-504	TTTY14
hsa-miR-504	TMEM44-AS1
hsa-miR-504	ZNRD1ASP
hsa-miR-504	LINC02022
hsa-miR-504	AL109945.1
hsa-miR-504	AL645608.2
hsa-miR-504	LINC01276
hsa-miR-504	AATBC
hsa-miR-504	LINC01809
hsa-miR-504	LINC00114
hsa-miR-504	LINC01281
hsa-miR-504	TNFRSF14-AS1
hsa-miR-504	GAS5
hsa-miR-504	AC140481.1
hsa-miR-504	AL132709.1
hsa-miR-504	AL590666.2
hsa-miR-504	HDDC3
hsa-miR-504	AL031728.1
hsa-miR-504	TMEM212-AS1
hsa-miR-504	AL391845.1
hsa-miR-504	GRM7-AS3
hsa-miR-504	RBM15-AS1
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	SAMSN1-AS1
hsa-miR-504	GAS5
hsa-miR-504	AC006001.3
hsa-miR-504	AC006001.3
hsa-miR-504	FOXD3-AS1
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	LINC01122
hsa-miR-504	LINC01615
hsa-miR-504	CCDC197
hsa-miR-504	HCG18
hsa-miR-504	LINC01356
hsa-miR-504	GAS5
hsa-miR-504	AJ009632.2
hsa-miR-504	HDAC2-AS2
hsa-miR-504	POT1-AS1
hsa-miR-504	AC000036.1
hsa-miR-504	TNFRSF14-AS1
hsa-miR-504	AC012368.1
hsa-miR-504	LINC01659
hsa-miR-504	MIAT
hsa-miR-504	AL354754.1
hsa-miR-504	LINC01819
hsa-miR-504	AL157400.3
hsa-miR-504	LINC01501
hsa-miR-504	AC017006.1
hsa-miR-504	LINC00680
hsa-miR-504	AL392046.1
hsa-miR-504	AL035420.1
hsa-miR-504	MIAT
hsa-miR-504	AL022318.1
hsa-miR-504	LINC01011
hsa-miR-504	TMEM72-AS1
hsa-miR-504	EMX2OS
hsa-miR-504	LINC00174
hsa-miR-504	AL359924.1
hsa-miR-504	AC074389.3
hsa-miR-504	GAS5
hsa-miR-504	PGM5P4-AS1
hsa-miR-504	TTN-AS1
hsa-miR-504	AL392046.1
hsa-miR-504	LINC01537
hsa-miR-504	AL590764.1
hsa-miR-504	ITGB1-DT
hsa-miR-504	AC069285.1
hsa-miR-504	AL133217.1
hsa-miR-504	AL596223.1
hsa-miR-504	AL031056.1
hsa-miR-504	MIAT
hsa-miR-504	PRR34-AS1
hsa-miR-504	AC004540.2
hsa-miR-504	LINC02543
hsa-miR-504	AL158066.1
hsa-miR-504	AL138889.1
hsa-miR-504	AC012368.1
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	AC004540.2
hsa-miR-504	PROX1-AS1
hsa-miR-504	HDAC2-AS2
hsa-miR-504	AC007179.2
hsa-miR-504	AL358216.1
hsa-miR-504	GAS5
hsa-miR-504	AC022395.1
hsa-miR-504	AL157896.1
hsa-miR-504	AP001476.1
hsa-miR-504	Z98884.1
hsa-miR-504	AL356311.1
hsa-miR-504	LINC-PINT
hsa-miR-504	COA6-AS1
hsa-miR-504	AL355613.1
hsa-miR-504	AC245052.4
hsa-miR-504	GAS5
hsa-miR-504	ZNRD1ASP
hsa-miR-504	GRM7-AS3
hsa-miR-504	PRKG1-AS1
hsa-miR-504	THAP7-AS1
hsa-miR-504	MEG9
hsa-miR-504	LINC01104
hsa-miR-504	AC016738.1
hsa-miR-504	MIAT
hsa-miR-504	AL606760.2
hsa-miR-504	LINC02601
hsa-miR-504	TTTY14
hsa-miR-504	AC091806.1
hsa-miR-504	AC011995.2
hsa-miR-504	LINC01828
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	AC069155.1
hsa-miR-504	DLX6-AS1
hsa-miR-504	TNFRSF14-AS1
hsa-miR-504	LINC01122
hsa-miR-504	AL354984.2
hsa-miR-504	RASAL2-AS1
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	AC245100.1
hsa-miR-504	FAM225A
hsa-miR-504	MIAT
hsa-miR-504	LINC01877
hsa-miR-504	CYP51A1-AS1
hsa-miR-504	LINC00982
hsa-miR-504	AC103925.1
hsa-miR-504	PLCE1-AS2
hsa-miR-504	LINC00963
hsa-miR-504	POT1-AS1
hsa-miR-504	AC074117.1
hsa-miR-504	ESRRAP2
hsa-miR-504	POT1-AS1
hsa-miR-504	LINC01768
hsa-miR-504	HCG17
hsa-miR-504	CNTFR-AS1
hsa-miR-504	TMEM44-AS1
hsa-miR-504	LINC00511
hsa-miR-504	AL022329.1
hsa-miR-504	HOTAIR
hsa-miR-504	AL391704.1
hsa-miR-504	MIR99AHG
hsa-miR-504	AC016722.1
hsa-miR-504	LINC01011
hsa-miR-504	GAS5
hsa-miR-504	AC013549.1
hsa-miR-504	HCG18
hsa-miR-504	LINC00703
hsa-miR-504	CNTFR-AS1
hsa-miR-504	LINC01814
hsa-miR-504	STEAP3-AS1
hsa-miR-504	HCG18
hsa-miR-504	AL021940.1
hsa-miR-504	GRM7-AS3
hsa-miR-504	AL136181.1
hsa-miR-504	AC131571.1
hsa-miR-504	LINC01524
hsa-miR-504	MATN1-AS1
hsa-miR-504	LINC00963
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	CASC2
hsa-miR-504	GAS5
hsa-miR-504	CASC2
hsa-miR-504	AL691447.2
hsa-miR-504	TTTY14
hsa-miR-504	AC020743.1
hsa-miR-504	LINC00963
hsa-miR-504	AL109615.2
hsa-miR-504	AC084030.1
hsa-miR-504	LINC02535
hsa-miR-504	AC012507.2
hsa-miR-504	LINC01122
hsa-miR-504	LINC01940
hsa-miR-504	LINC00332
hsa-miR-504	HOTAIR
hsa-miR-504	FAAHP1
hsa-miR-504	LINC00466
hsa-miR-504	AC010149.1
hsa-miR-504	RAPGEF4-AS1
hsa-miR-504	AL606516.1
hsa-miR-504	LINC02540
hsa-miR-504	AC108676.1
hsa-miR-504	GRM7-AS3
hsa-miR-504	MIAT
hsa-miR-504	LINC02609
hsa-miR-504	AL031847.1
hsa-miR-504	AC234582.2
hsa-miR-504	ZNF337-AS1
hsa-miR-504	CCDC197
hsa-miR-504	GAS5
hsa-miR-504	HCG17
hsa-miR-504	AL161785.1
hsa-miR-504	NKAP
hsa-miR-504	LINC01653
hsa-miR-504	AC020718.1
hsa-miR-504	LINC02578
hsa-miR-504	AC112495.1
hsa-miR-504	VSTM2A-OT1
hsa-miR-504	GORAB-AS1
hsa-miR-504	Z83844.2
hsa-miR-504	LINC01722
hsa-miR-504	SCEL-AS1
hsa-miR-504	GAS5
hsa-miR-504	MIR99AHG
hsa-miR-504	AL807752.3
hsa-miR-504	AC010907.2
hsa-miR-504	AL133481.3
hsa-miR-504	KIF25-AS1
hsa-miR-504	LINC00029
hsa-miR-504	AL139246.2
hsa-miR-504	AC019080.1
hsa-miR-504	AC011287.2
hsa-miR-504	GAS5
hsa-miR-504	LINC00887
hsa-miR-504	TRPM2-AS
hsa-miR-504	AL357146.1
hsa-miR-504	LINC01346
hsa-miR-504	GMDS-DT
hsa-miR-504	AC004947.1
hsa-miR-504	AC009312.1
hsa-miR-504	AL392046.1
hsa-miR-504	AF064860.2
hsa-miR-504	LINC01136
hsa-miR-504	LINC01250
hsa-miR-504	MIR646HG
hsa-miR-504	SCEL-AS1
hsa-miR-504	LINC01053
hsa-miR-504	USP9Y
hsa-miR-504	AP000696.1
hsa-miR-504	Z97634.1
hsa-miR-504	NALCN-AS1
hsa-miR-504	MIR503HG
hsa-miR-504	LINC01772
hsa-miR-504	AL513327.1
hsa-miR-504	GAS6-AS1
hsa-miR-504	AL358473.1
hsa-miR-504	HAS2-AS1
hsa-miR-504	LINC01753
hsa-miR-504	AC245452.1
hsa-miR-504	GAS5
hsa-miR-504	ENTPD1-AS1
hsa-miR-504	MIAT
hsa-miR-504	DLX6-AS1
hsa-miR-504	DDR1-DT
hsa-miR-504	BX255923.1
hsa-miR-504	FAM215B
hsa-miR-504	MIR646HG
hsa-miR-504	POT1-AS1
hsa-miR-504	Z99756.1
hsa-miR-504	AL645608.1
hsa-miR-504	LINC01445
hsa-miR-504	FAM41AY2
hsa-miR-504	GRM7-AS3
hsa-miR-504	AL590617.2
hsa-miR-504	LINC00856
hsa-miR-504	WT1-AS
hsa-miR-504	HCP5
hsa-miR-504	AC004889.1
hsa-miR-504	LINC00856
hsa-miR-504	LINC01168
hsa-miR-504	AC074386.1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	AC093627.5
hsa-miR-504	LINC00960
hsa-miR-504	TIPARP-AS1
hsa-miR-504	AC074386.1
hsa-miR-504	PRKAG2-AS1
hsa-miR-504	AC004889.1
hsa-miR-504	LINC00698
hsa-miR-504	LINC00698
hsa-miR-504	AL627309.5
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	HCP5
hsa-miR-504	PRKAG2-AS1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	LINC00698
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	AC107464.1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	TRRAP
hsa-miR-504	AC008040.1
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	FLNC-AS1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	AC093627.4
hsa-miR-504	DNAJB8-AS1
hsa-miR-504	HOTTIP
hsa-miR-504	FLNB-AS1
hsa-miR-504	STRIP1
hsa-miR-504	KCNAB1-AS2
hsa-miR-504	AC004889.1
hsa-miR-504	MIR1-1HG-AS1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	LRRC77P
hsa-miR-504	LINC00698
hsa-miR-504	AL512625.1
hsa-miR-504	AC021074.3
hsa-miR-504	AC016026.1
hsa-miR-504	AC074386.1
hsa-miR-504	LINC00856
hsa-miR-504	LINC00996
hsa-miR-504	AC004889.1
hsa-miR-504	LINC00336
hsa-miR-504	TIPARP-AS1
hsa-miR-504	WT1-AS
hsa-miR-504	AC074386.1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	AC093627.4
hsa-miR-504	AC016968.1
hsa-miR-504	HOXA11-AS
hsa-miR-504	AC021074.3
hsa-miR-504	AC004889.1
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	AC093627.5
hsa-miR-504	DMD
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	LINC02042
hsa-miR-504	AC092040.1
hsa-miR-504	TRRAP
hsa-miR-504	AC008040.1
hsa-miR-504	SAMMSON
hsa-miR-504	AC093627.4
hsa-miR-504	COL18A1-AS1
hsa-miR-504	LINC00994
hsa-miR-504	AC010973.2
hsa-miR-504	OR2A1-AS1
hsa-miR-504	LINC00996
hsa-miR-504	AC074386.1
hsa-miR-504	AC008040.1
hsa-miR-504	AC093627.5
hsa-miR-504	OR2A1-AS1
hsa-miR-504	AC092979.1
hsa-miR-504	LINC02016
hsa-miR-504	FLNB-AS1
hsa-miR-504	SAMMSON
hsa-miR-504	AC093001.1
hsa-miR-504	AC004889.1
hsa-miR-504	AC107464.1
hsa-miR-504	NPHP3-AS1
hsa-miR-504	AC074386.1
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	LINC02049
hsa-miR-504	AL627309.5
hsa-miR-504	AC093627.4
hsa-miR-504	AC092849.2
hsa-miR-504	LINC00960
hsa-miR-504	TIPARP-AS1
hsa-miR-504	AC004889.1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	LINC00488
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	LINC02047
hsa-miR-504	WT1-AS
hsa-miR-504	AC092924.1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	OR2A1-AS1
hsa-miR-504	AC093627.5
hsa-miR-504	AL928742.1
hsa-miR-504	LINC00698
hsa-miR-504	AC112487.1
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	OR2A20P
hsa-miR-504	AC004889.1
hsa-miR-504	AP004609.1
hsa-miR-504	SBF2-AS1
hsa-miR-504	UBA6-AS1
hsa-miR-504	LINC00682
hsa-miR-504	AL049840.1
hsa-miR-504	BDNF-AS
hsa-miR-504	LINC00682
hsa-miR-504	AC099508.1
hsa-miR-504	AC022113.1
hsa-miR-504	AP002026.1
hsa-miR-504	UBA6-AS1
hsa-miR-504	ALKBH3-AS1
hsa-miR-504	AC104078.1
hsa-miR-504	PLA2G4E-AS1
hsa-miR-504	BDNF-AS
hsa-miR-504	LINC02202
hsa-miR-504	AC006299.1
hsa-miR-504	RRS1-AS1
hsa-miR-504	PLUT
hsa-miR-504	AC100786.1
hsa-miR-504	AC025164.1
hsa-miR-504	AC093607.1
hsa-miR-504	NEAT1
hsa-miR-504	AC091013.1
hsa-miR-504	A2M-AS1
hsa-miR-504	PICART1
hsa-miR-504	SBF2-AS1
hsa-miR-504	AL357153.1
hsa-miR-504	CSTF3-DT
hsa-miR-504	LINC02466
hsa-miR-504	AC016596.1
hsa-miR-504	ARAP1-AS2
hsa-miR-504	LINC02377
hsa-miR-504	AP000487.1
hsa-miR-504	AC136604.2
hsa-miR-504	AP002026.1
hsa-miR-504	SNHG10
hsa-miR-504	AC068446.2
hsa-miR-504	DDX11-AS1
hsa-miR-504	UBA6-AS1
hsa-miR-504	AC010547.1
hsa-miR-504	AC024896.1
hsa-miR-504	BDNF-AS
hsa-miR-504	AC026250.1
hsa-miR-504	STARD4-AS1
hsa-miR-504	AC025164.1
hsa-miR-504	NEAT1
hsa-miR-504	BDNF-AS
hsa-miR-504	SAP30L-AS1
hsa-miR-504	AP000787.1
hsa-miR-504	CACNA1C-AS1
hsa-miR-504	BDNF-AS
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	FAM111A-DT
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	LINC02447
hsa-miR-504	AC107959.2
hsa-miR-504	DNM1P35
hsa-miR-504	AL160313.1
hsa-miR-504	BDNF-AS
hsa-miR-504	AC055717.1
hsa-miR-504	AC104078.1
hsa-miR-504	AP002490.1
hsa-miR-504	IQCM
hsa-miR-504	AC138965.1
hsa-miR-504	LNX1-AS1
hsa-miR-504	LINC02241
hsa-miR-504	CASC11
hsa-miR-504	UBA6-AS1
hsa-miR-504	AC021660.2
hsa-miR-504	AC012636.1
hsa-miR-504	AC097512.1
hsa-miR-504	AC108866.1
hsa-miR-504	LINC02355
hsa-miR-504	MRPS30-DT
hsa-miR-504	AC116345.1
hsa-miR-504	MRPS30-DT
hsa-miR-504	LINC01060
hsa-miR-504	AC026780.2
hsa-miR-504	AC113414.1
hsa-miR-504	LINC01060
hsa-miR-504	FAM198B-AS1
hsa-miR-504	AC113414.1
hsa-miR-504	NOP14-AS1
hsa-miR-504	LINC02102
hsa-miR-504	AC023154.1
hsa-miR-504	AC108866.1
hsa-miR-504	AC107884.1
hsa-miR-504	AC023794.2
hsa-miR-504	AC140125.3
hsa-miR-504	PCAT4
hsa-miR-504	CD27-AS1
hsa-miR-504	AL928654.1
hsa-miR-504	AC104078.2
hsa-miR-504	AC140125.3
hsa-miR-504	AC027338.2
hsa-miR-504	LINC02397
hsa-miR-504	NPHP3-AS1
hsa-miR-504	LINC02105
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	ATG10-AS1
hsa-miR-504	LINC00682
hsa-miR-504	PART1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	LINC01511
hsa-miR-504	RASGRF2-AS1
hsa-miR-504	AC113167.1
hsa-miR-504	LINC02111
hsa-miR-504	AC140125.3
hsa-miR-504	AC005865.2
hsa-miR-504	MRPS30-DT
hsa-miR-504	MRPS30-DT
hsa-miR-504	AC100773.1
hsa-miR-504	LINC02377
hsa-miR-504	AC104825.1
hsa-miR-504	AC084048.1
hsa-miR-504	CACNA1G-AS1
hsa-miR-504	FAM198B-AS1
hsa-miR-504	AC079942.1
hsa-miR-504	AC108112.1
hsa-miR-504	AC026746.1
hsa-miR-504	AC092546.1
hsa-miR-504	AC106864.1
hsa-miR-504	MRPS30-DT
hsa-miR-504	RASGRF2-AS1
hsa-miR-504	NOP14-AS1
hsa-miR-504	CACNA1G-AS1
hsa-miR-504	LINC01095
hsa-miR-504	GMDS-DT
hsa-miR-504	AC099522.1
hsa-miR-504	AC074091.1
hsa-miR-504	TLL2
hsa-miR-504	AC007663.2
hsa-miR-504	AP002026.1
hsa-miR-504	LINC01016
hsa-miR-504	PITPNM2-AS1
hsa-miR-504	KLHL8
hsa-miR-504	AP002754.1
hsa-miR-504	KCNG1
hsa-miR-504	LINC01957
hsa-miR-504	AC097512.1
hsa-miR-504	AP002026.1
hsa-miR-504	PRR7-AS1
hsa-miR-504	AC092834.1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	P3R3URF
hsa-miR-504	UBA6-AS1
hsa-miR-504	LINC02199
hsa-miR-504	MEF2C-AS1
hsa-miR-504	AC106786.2
hsa-miR-504	AC022447.3
hsa-miR-504	PART1
hsa-miR-504	AC113382.2
hsa-miR-504	AC078881.1
hsa-miR-504	AC145285.2
hsa-miR-504	CTBP1-DT
hsa-miR-504	AC026746.1
hsa-miR-504	SH3TC2-DT
hsa-miR-504	LINC02172
hsa-miR-504	SH3TC2-DT
hsa-miR-504	AC113615.1
hsa-miR-504	NOP14-AS1
hsa-miR-504	LINC01095
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	NOP14-AS1
hsa-miR-504	AC136475.1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	IQCM
hsa-miR-504	LINC01091
hsa-miR-504	MRPS30-DT
hsa-miR-504	AC117500.1
hsa-miR-504	AC097467.3
hsa-miR-504	AC007126.1
hsa-miR-504	AC117422.1
hsa-miR-504	AC004063.1
hsa-miR-504	AC108866.1
hsa-miR-504	LINC01959
hsa-miR-504	LINC02415
hsa-miR-504	MEF2C-AS1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	FAM198B-AS1
hsa-miR-504	AC023154.1
hsa-miR-504	MALAT1
hsa-miR-504	CACNA1G-AS1
hsa-miR-504	MRPS30-DT
hsa-miR-504	AP002495.1
hsa-miR-504	LINC02466
hsa-miR-504	SH3TC2-DT
hsa-miR-504	MEF2C-AS1
hsa-miR-504	AC083906.3
hsa-miR-504	AC113414.1
hsa-miR-504	AP002026.1
hsa-miR-504	AC138965.1
hsa-miR-504	AC104958.1
hsa-miR-504	FAM198B-AS1
hsa-miR-504	AC084357.2
hsa-miR-504	AC094104.2
hsa-miR-504	HOXC-AS3
hsa-miR-504	AP002026.1
hsa-miR-504	LINC01060
hsa-miR-504	LINC02199
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	AC008852.1
hsa-miR-504	LINC02199
hsa-miR-504	LINC02113
hsa-miR-504	AC008808.2
hsa-miR-504	AC023154.1
hsa-miR-504	AC079465.1
hsa-miR-504	AC113355.1
hsa-miR-504	AC012560.1
hsa-miR-504	LINC01234
hsa-miR-504	AP002026.1
hsa-miR-504	LNX1-AS1
hsa-miR-504	LINC01060
hsa-miR-504	AC113378.1
hsa-miR-504	IQCM
hsa-miR-504	AC097372.1
hsa-miR-504	AC008525.2
hsa-miR-504	AC006160.1
hsa-miR-504	AC108866.1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	JRKL-AS1
hsa-miR-504	AC097652.1
hsa-miR-504	AC097512.1
hsa-miR-504	PRR7-AS1
hsa-miR-504	UBA6-AS1
hsa-miR-504	AC106795.3
hsa-miR-504	AP003716.1
hsa-miR-504	AC138965.1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	AC037441.1
hsa-miR-504	LUCAT1
hsa-miR-504	LINC01091
hsa-miR-504	AC034199.1
hsa-miR-504	LINC02600
hsa-miR-504	LINC02105
hsa-miR-504	AP002495.1
hsa-miR-504	LNX1-AS1
hsa-miR-504	IQCM
hsa-miR-504	SH3TC2-DT
hsa-miR-504	LINC01095
hsa-miR-504	AC113349.1
hsa-miR-504	AC097467.3
hsa-miR-504	EGFLAM-AS4
hsa-miR-504	AC093535.1
hsa-miR-504	LINC01258
hsa-miR-504	MEF2C-AS1
hsa-miR-504	AC022441.1
hsa-miR-504	LINC02241
hsa-miR-504	SCOC-AS1
hsa-miR-504	AC008467.1
hsa-miR-504	NOP14-AS1
hsa-miR-504	NOP14-AS1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	AC109454.3
hsa-miR-504	AC093535.1
hsa-miR-504	NOP14-AS1
hsa-miR-504	AC109811.1
hsa-miR-504	LINC01060
hsa-miR-504	AC008549.1
hsa-miR-504	SH3TC1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	LINC01095
hsa-miR-504	AC004672.1
hsa-miR-504	HOXC-AS3
hsa-miR-504	STARD4-AS1
hsa-miR-504	AC116345.1
hsa-miR-504	LINC01060
hsa-miR-504	AC116345.1
hsa-miR-504	AC026746.1
hsa-miR-504	AP001999.1
hsa-miR-504	LUCAT1
hsa-miR-504	LUCAT1
hsa-miR-504	TMEM161B-AS1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	AC012636.1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	UBA6-AS1
hsa-miR-504	AC107884.1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	AC093607.1
hsa-miR-504	AC093909.4
hsa-miR-504	AC107220.1
hsa-miR-504	LNX1-AS1
hsa-miR-504	FAM198B-AS1
hsa-miR-504	MEF2C-AS1
hsa-miR-504	MRPS30-DT
hsa-miR-504	RDH10-AS1
hsa-miR-504	HOXC-AS3
hsa-miR-504	LINC02102
hsa-miR-504	MEF2C-AS1
hsa-miR-504	LINC01091
hsa-miR-504	PCAT4
hsa-miR-504	PRR7-AS1
hsa-miR-504	AC022424.2
hsa-miR-504	AC092546.1
hsa-miR-504	LINC02241
hsa-miR-504	AC037459.2
hsa-miR-504	AC112196.1
hsa-miR-504	NOP14-AS1
hsa-miR-504	AC226118.1
hsa-miR-504	LINC02212
hsa-miR-504	SH3TC2-DT
hsa-miR-504	PSD2-AS1
hsa-miR-504	SH3TC2-DT
hsa-miR-504	AC116345.1
hsa-miR-504	LINC01095
hsa-miR-504	PART1
hsa-miR-504	LINC01091
hsa-miR-504	AC093535.1
hsa-miR-504	LINC01337
hsa-miR-504	AC008663.2
hsa-miR-504	LINC02202
hsa-miR-504	AC024958.1
hsa-miR-504	RDH10-AS1
hsa-miR-504	LINC02153
hsa-miR-504	LINC01606
hsa-miR-504	AC022893.1
hsa-miR-504	AC011377.1
hsa-miR-504	EVX1-AS
hsa-miR-504	AC011124.1
hsa-miR-504	LINC01592
hsa-miR-504	AC100849.1
hsa-miR-504	AC025524.2
hsa-miR-504	HDAC2-AS2
hsa-miR-504	RHPN1-AS1
hsa-miR-504	AC087855.2
hsa-miR-504	CASC11
hsa-miR-504	AC100849.1
hsa-miR-504	AC027801.3
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	AC123767.1
hsa-miR-504	HDAC2-AS2
hsa-miR-504	LINC01592
hsa-miR-504	LINC01606
hsa-miR-504	FER1L6-AS1
hsa-miR-504	AC025524.2
hsa-miR-504	AC022784.1
hsa-miR-504	AC090578.1
hsa-miR-504	AC012349.1
hsa-miR-504	AC040914.1
hsa-miR-504	LINC01485
hsa-miR-504	HOXA-AS3
hsa-miR-504	HOXA-AS3
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	EVX1-AS
hsa-miR-504	LINC01592
hsa-miR-504	CASC11
hsa-miR-504	HDAC2-AS2
hsa-miR-504	AC084116.3
hsa-miR-504	LINC01606
hsa-miR-504	EVX1-AS
hsa-miR-504	LINC01606
hsa-miR-504	HDAC2-AS2
hsa-miR-504	AC083841.3
hsa-miR-504	LINC01606
hsa-miR-504	PCAT1
hsa-miR-504	AC024958.1
hsa-miR-504	AC083841.3
hsa-miR-504	AC025524.2
hsa-miR-504	AC104117.3
hsa-miR-504	AC083843.1
hsa-miR-504	AP001574.1
hsa-miR-504	HDAC2-AS2
hsa-miR-504	AC124067.4
hsa-miR-504	SAP30L-AS1
hsa-miR-504	AC025524.2
hsa-miR-504	AC011124.1
hsa-miR-504	AC024958.1
hsa-miR-504	AC008663.2
hsa-miR-504	AC025524.2
hsa-miR-504	AC025524.2
hsa-miR-504	HDAC2-AS2
hsa-miR-504	CCDC26
hsa-miR-504	AC025524.2
hsa-miR-504	AC022784.1
hsa-miR-504	AC024958.1
hsa-miR-504	AC090578.1
hsa-miR-504	LINC01485
hsa-miR-504	HOXA11-AS
hsa-miR-504	AC022784.1
hsa-miR-504	HOXA11-AS
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	AC022733.2
hsa-miR-504	HDAC2-AS2
hsa-miR-504	AC103853.1
hsa-miR-504	THUMPD3-AS1
hsa-miR-504	AC136628.4
hsa-miR-504	AC021785.1
hsa-miR-504	AC090578.1
hsa-miR-504	AC025524.2
hsa-miR-504	HDAC2-AS2
hsa-miR-504	RDH10-AS1
hsa-miR-504	AC037441.1
hsa-miR-504	AC100849.1
hsa-miR-504	LINC01606
hsa-miR-504	AC037459.3
hsa-miR-504	HOTTIP
hsa-miR-504	AC011124.1
hsa-miR-504	LINC01606
hsa-miR-504	HOXA-AS3
hsa-miR-504	AC011124.1
hsa-miR-504	HOXA-AS3
hsa-miR-504	LINC02209
hsa-miR-504	AC008378.1
